Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2022 Tata PUNCH,23927,Petrol,Manual,HR-06,₹2.25L₹2.20 lakh+ other charges,₹4.15 lakh, Rajouri Garden
2021 Renault Kwid,44709,Petrol,Manual,HR-14,"EMI ₹4,985/m*",₹4.69 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2017 Maruti Wagon R 1.0,43479,Petrol,Manual,HR-51,₹2.60L₹2.55 lakh+ other charges,₹2.20 lakh," Metro Walk, Rohini, New Delhi"
2018 Renault Kwid,62282,Petrol,Manual,HR-51,"EMI ₹6,443/m*",₹2.55 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2023 Tata PUNCH,78363,Petrol,Manual,HR-51,₹3.65 lakh+ other charges,₹1.63 lakh, Rajouri Garden
2022 Tata NEXON,48769,Petrol,Manual,HR-11,"EMI ₹2,879/m*",₹4.79 lakh, Rajouri Garden
2012 Maruti Alto 800,71627,CNG,Manual,HR-26,₹2.42L₹1.63 lakh+ other charges,₹6.10 lakh," Metro Walk, Rohini, New Delhi"
2019 Maruti Baleno,59035,Petrol,Manual,HR-26,"EMI ₹8,457/m*",₹1.34 lakh," Metro Walk, Rohini, New Delhi"
2020 Renault TRIBER,42304,Petrol,Manual,HR-16,₹5.28L₹4.79 lakh+ other charges,₹3.92 lakh," Metro Walk, Rohini, New Delhi"
2018 Hyundai Grand i10,81251,Petrol,Manual,HR-98,"EMI ₹5,517/m*",₹3.43 lakh," Metro Walk, Rohini, New Delhi"
2016 Hyundai Creta,70369,Petrol,Manual,HR-14,₹2.69L₹2.48 lakh+ other charges,₹2.76 lakh," Metro Walk, Rohini, New Delhi"
2015 Maruti Swift,87121,Diesel,Manual,HR-26,"EMI ₹4,661/m*",₹3.67 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2017 Renault Kwid,61347,Petrol,Manual,HR-98,₹1.88L₹1.77 lakh+ other charges,Account ," M3M Urbana, Golf Course Ext., Gurugram"
2022 Maruti Swift,66173,Petrol,Manual,HR-44,"EMI ₹7,918/m*",₹3.13 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2019 Tata NEXON,43084,Petrol,Manual,HR-51,₹4.40L₹4.05 lakh+ other charges,₹1.44 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2023 Tata PUNCH,78363,Petrol,Manual,HR-29,"EMI ₹10,025/m*",₹4.13 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2022 Tata NEXON,48769,Petrol,Manual,HR-26,₹2.13 lakh+ other charges,₹4.15 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2012 Maruti Alto 800,71627,CNG,Manual,UP-13,"EMI ₹6,188/m*",₹4.79 lakh," Wave One Mall, Sec-18, Noida"
2019 Maruti Baleno,59035,Petrol,Manual,UP-25,₹2.40L₹2.35 lakh+ other charges,₹6.10 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2018 Hyundai Grand i10,81251,Petrol,Manual,UP-80,"EMI ₹6,443/m*",₹1.34 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2015 Volkswagen Polo,102403,Petrol,Manual,UP-23,₹3.65 lakh+ other charges,₹3.92 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2018 Toyota Innova Crysta,92265,Petrol,Manual,HR-12,"EMI ₹5,517/m*",₹2.76 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2016 Ford Ecosport,40398,Petrol,Manual,HR-72,₹2.69L₹2.48 lakh+ other charges,₹2.26 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2018 Toyota YARIS,98910,Petrol,Manual,UP-80,"EMI ₹3,158/m*",₹7.56 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2022 Skoda KUSHAQ,65563,Petrol,Manual,DL-11,₹1.79 lakh+ other charges,₹3.22 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2023 Mahindra SCORPIO CLASSIC,69176,Diesel,Manual,DL-13,"EMI ₹6,620/m*",₹4.27 lakh," Udyog Vihar, Sector 18, Gurgaon"
2019 Tata NEXON,43020,Petrol,Manual,DL-14,₹3.90L₹3.75 lakh+ other charges,₹6.98 lakh," Udyog Vihar, Sector 18, Gurgaon"
2022 Mahindra Thar,43076,Diesel,Manual,HR-30,"EMI ₹5,808/m*",₹12.35 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2022 Skoda SLAVIA,78434,Petrol,Manual,HR-50,₹3.29 lakh+ other charges,₹4.53 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2019 Volkswagen Polo,67707,Petrol,Manual,HR-30,"EMI ₹7,242/m*",₹10.55 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2021 Nissan MAGNITE,53718,Petrol,Manual,HR-51,₹3.70L₹2.75 lakh+ other charges,₹7.05 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2023 Toyota Glanza,60527,Petrol,Manual,HR-30,"EMI ₹3,982/m*",₹3.49 lakh, Shilapati Mohalla Jind
2021 Maruti Swift,62963,CNG,Manual,HR-03,₹1.85L₹1.79 lakh+ other charges,₹3.85 lakh, Laxman colony Street no 1 Laxman colony Street no 1 Thanesar
2019 Ford FREESTYLE,55165,Diesel,Manual,HR-52,"EMI ₹8,209/m*",₹5.00 lakh, Kurukshetra University Thanesar Haryana
2015 Hyundai Eon,43518,Petrol,Manual,HR-51,₹4.86L₹4.65 lakh+ other charges,₹4.60 lakh, THANESAR KURUKSHETRA Kurukshetra
2017 Renault Kwid,86916,Petrol,Manual,HR-51,"EMI ₹4,555/m*",₹2.87 lakh, Mohan nagar kurukshetra Mohan nagar kurukshetra Kurukshetra
2016 Maruti Swift,65394,Petrol,Manual,HR-30,₹2.57L₹2.33 lakh+ other charges,₹1.77 lakh, Vashisht colony Vashisht colony Kurukshetra
2019 Maruti Swift,58358,CNG,Manual,HR-12,"EMI ₹6,173/m*",₹1.53 lakh, Sector 4 Kurukshetra Haryana
2015 Maruti Wagon R 1.0,65974,CNG,Manual,HR-30,₹3.84L₹3.50 lakh+ other charges,₹3.35 lakh, Sector 10 Kurukshetra Haryana
2022 Tata PUNCH,23927,Petrol,Manual,HR-30,"EMI ₹7,741/m*",₹4.05 lakh, Kurukshetra Thanesar Haryana
2015 Honda Amaze,40807,Petrol,Manual,HR-50,₹3.60L₹3.48 lakh+ other charges,₹2.13 lakh, Kurukshetra Haryana India
2021 Renault Kwid,44709,Petrol,Manual,HR-30,"EMI ₹13,580/m*",₹4.69 lakh, Kurukshetra Kurukshetra Kurukshetra
2017 Maruti Wagon R 1.0,43479,Petrol,Manual,HR-30,₹7.93L₹7.69 lakh+ other charges,₹2.35 lakh, Sector 3 Kurukshetra Haryana
2019 Maruti Swift,57241,Petrol,Manual,HR-30,"EMI ₹5,474/m*",₹2.20 lakh, Hargobind nagar near Balaji mandir Hargobind nagar near Balaji mandir Kurukshetra
2018 Renault Kwid,62282,Petrol,Manual,HR-89,₹3.11L₹2.80 lakh+ other charges,₹2.55 lakh, Kurukshetra University Thanesar Haryana
2016 Tata Tiago,79222,Petrol,Manual,HR-82,"EMI ₹4,886/m*",₹3.65 lakh, Ambala Division Sector 30 Kurukshetra
2019 Datsun Redi Go,34061,Petrol,Manual,HR-14,₹2.70L₹2.50 lakh+ other charges,₹1.63 lakh, Ansal Sushant City Ansal Sushant City Umri
2019 Maruti Swift,30678,Petrol,Manual,HR-13,"EMI ₹10,989/m*",₹2.48 lakh, darra khera Darra Khera Thanesar
2020 Tata Tiago,31395,Petrol,Manual,HR-14,₹6.04L₹4.94 lakh+ other charges,₹1.79 lakh, null
2015 Honda City,119495,Petrol,Manual,HR-08,"EMI ₹6,025/m*",₹3.75 lakh, Chakrwati Mohalla Kurukshetra
2018 Datsun Redi Go,60114,CNG,Manual,HR-34,₹2.05L₹1.81 lakh+ other charges,₹3.29 lakh, Locality :- Kurukshetra Kurukshetra
2018 Maruti Wagon R 1.0,66369,CNG,Manual,HR-77,"EMI ₹8,826/m*",₹2.75 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2016 Renault Kwid,69406,Petrol,Manual,HR-26,₹5.64L₹5.00 lakh+ other charges,₹1.79 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2012 Maruti Alto 800,149271,Petrol,Manual,HR-12,Not available on EMI,Account ," M3M Urbana, Golf Course Ext., Gurugram"
2020 Maruti Alto,70036,CNG,Manual,HR-12,₹3.81L₹3.13 lakh+ other charges,₹2.50 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2012 Honda City,71950,CNG,Manual,RJ-10,"EMI ₹8,120/m*",₹1.36 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2016 Maruti Swift Dzire,90966,Diesel,Manual,HR-14,₹5.33L₹4.60 lakh+ other charges,₹0.80 lakh," Udyog Vihar, Sector 18, Gurgaon"
2020 Hyundai GRAND I10 NIOS,48243,Petrol,Manual,HR-14,"EMI ₹2,815/m*",₹2.35 lakh," Udyog Vihar, Sector 18, Gurgaon"
2020 Maruti New Wagon-R,93500,CNG,Manual,HR-26,₹2.04L₹1.44 lakh+ other charges,₹1.98 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2016 Maruti Swift,130183,Diesel,Manual,HR-77,"EMI ₹9,542/m*",₹3.20 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2019 Ford Figo Aspire,91038,Diesel,Manual,HR-19,₹4.99L₹2.87 lakh+ other charges,₹3.78 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2024 Hyundai AURA,29918,CNG,Manual,HR-12,"EMI ₹7,284/m*",₹3.54 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2021 Renault Kiger,74038,Petrol,Manual,HR-77,₹4.37L₹4.13 lakh+ other charges,₹3.50 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2020 Maruti Vitara Brezza,72842,CNG,Manual,HR-26,"EMI ₹2,991/m*",₹4.50 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2022 Maruti IGNIS,37032,CNG,Manual,HR-15,₹2.39L₹1.53 lakh+ other charges,₹6.77 lakh," Udyog Vihar, Sector 18, Gurgaon"
2022 Hyundai GRAND I10 NIOS,116000,CNG,Manual,HR-12,"EMI ₹7,452/m*",₹3.20 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2017 Honda WR-V,135411,Diesel,Manual,HR-20,₹3.65L₹3.35 lakh+ other charges,₹6.01 lakh," Udyog Vihar, Sector 18, Gurgaon"
2021 Toyota Fortuner,90041,Diesel,Manual,HR-19,"EMI ₹7,326/m*",₹4.13 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2020 KIA SELTOS,65000,Diesel,Manual,HR-26,₹4.25L₹4.15 lakh+ other charges,₹4.65 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2024 KIA CARENS,29200,Petrol,Manual,HR-11,"EMI ₹8,279/m*",₹4.03 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2017 Maruti Vitara Brezza,69572,Diesel,Manual,HR-12,₹4.89L₹4.69 lakh+ other charges,₹28.74 lakh," Udyog Vihar, Sector 18, Gurgaon"
2016 Maruti Swift,88768,CNG,Manual,HR-20,"EMI ₹3,881/m*",₹8.44 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2013 Maruti Wagon R 1.0,35554,Petrol,Manual,CH-01,₹2.25L₹2.20 lakh+ other charges,₹10.78 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2013 Hyundai Santro Xing,90800,Petrol,Manual,HR-36,"EMI ₹4,985/m*",Account ," GNB Mall, Raj Nagar Extension, Ghaziabad"
2016 Maruti Swift,92656,CNG,Manual,HR-26,₹2.60L₹2.55 lakh+ other charges,Account ," Radisson Blu, Sector 13, Dwarka, New Delhi"
2020 Tata NEXON,82591,CNG,Manual,HR-11,"EMI ₹2,879/m*",Account ," Wave One Mall, Sec-18, Noida"
2021 Maruti New Wagon-R,86050,CNG,Manual,HR-51,₹2.42L₹1.63 lakh+ other charges,Account ," Gaur City mall, Multilevel parking, Greater Noida"
2021 Maruti Dzire,46966,Petrol,Manual,HR-26,"EMI ₹8,457/m*",Account ," Metro Walk, Rohini, New Delhi"
2021 Tata ALTROZ,96936,Petrol,Manual,HR-12,₹5.28L₹4.79 lakh+ other charges,Account ," Radisson Blu, Sector 13, Dwarka, New Delhi"
2017 Tata Tiago,81830,Diesel,Manual,HR-11,"EMI ₹10,775/m*",Account ," GNB Mall, Raj Nagar Extension, Ghaziabad"
2016 Maruti Swift Dzire,102992,CNG,Manual,DL-10,₹6.26L₹6.10 lakh+ other charges,Account ," Metro Walk, Rohini, New Delhi"
2014 Volkswagen Polo,151411,Diesel,Manual,HR-06,Not available on EMI,Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2016 Hyundai Eon,110007,Petrol,Manual,HR-06,₹1.34 lakh+ other charges,Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2023 Hyundai AURA,46728,CNG,Manual,HR-51,"EMI ₹6,920/m*",Account ," Metro Walk, Rohini, New Delhi"
2016 Maruti Wagon R 1.0,169642,CNG,Manual,UK-06,₹4.00L₹3.92 lakh+ other charges,₹4.75 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2015 Maruti Swift Dzire,65001,Petrol,Manual,HR-06,"EMI ₹6,055/m*",₹3.00 lakh," Metro Walk, Rohini, New Delhi"
2017 Maruti Swift,133522,Petrol,Manual,HR-51,₹3.85L₹3.43 lakh+ other charges,₹1.27 lakh," Metro Walk, Rohini, New Delhi"
2018 Maruti Wagon R 1.0,173895,Petrol,Manual,HR-06,"EMI ₹4,869/m*",₹1.20 lakh, DLF South Court Saket
2016 Maruti Swift Dzire,90000,CNG,Manual,HR-08,₹3.21L₹2.76 lakh+ other charges,₹2.50 lakh," Metro Walk, Rohini, New Delhi"
2021 KIA SONET,118716,Diesel,Manual,HR-28,"EMI ₹8,175/m*",₹4.10 lakh, Rajouri Garden
2014 Maruti Alto K10,54400,Petrol,Manual,HR-06,₹4.60L₹3.67 lakh+ other charges,₹3.65 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2022 Maruti Ciaz,64621,Petrol,Manual,HR-26,"EMI ₹15,571/m*",₹4.48 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2023 Tata PUNCH,32452,CNG,Manual,HR-33,₹7.50L₹7.00 lakh,₹3.39 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2021 Tata ALTROZ,84375,Petrol,Manual,HR-06,"EMI ₹9,964/m*",₹1.90 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2016 Hyundai Elite i20,140669,Diesel,Manual,HR-06,₹3.09L₹3.00 lakh,₹2.70 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2011 Maruti Wagon R 1.0,98368,Petrol,Manual,HR-06,"EMI ₹6,847/m*",₹2.13 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2013 Maruti Ertiga,104560,CNG,Manual,HR-60,₹2.65L₹2.60 lakh,₹1.30 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2021 Renault Kiger,20200,CNG,Manual,HR-06,"EMI ₹3,003/m*",₹5.54 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2021 Skoda KUSHAQ,96985,Petrol,Manual,HR-06,₹1.35 lakh,₹1.95 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2012 Maruti Swift Dzire,192102,Diesel,Manual,HR-26,"EMI ₹3,114/m*",₹3.29 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2019 Hyundai Verna,64058,Petrol,Manual,HR-14,₹1.40 lakh,₹3.00 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2015 Hyundai Eon,84356,Petrol,Manual,UP-13,"EMI ₹10,115/m*",₹2.15 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2012 Honda City,150429,Petrol,Manual,HR-87,₹6.00L₹5.73 lakh,₹2.65 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2013 Renault Duster,142829,Diesel,Manual,UP-25,"EMI ₹7,008/m*",₹7.50 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2015 Maruti Wagon R 1.0,116324,CNG,Manual,HR-14,₹2.11 lakh,Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2012 Maruti Wagon R 1.0,191617,CNG,Manual,UP-80,"EMI ₹25,766/m*",Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2015 Hyundai i10,84322,Petrol,Manual,HR-10,₹2.90 lakh,₹2.00 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2015 Maruti Wagon R 1.0,137902,CNG,Manual,UP-23,"EMI ₹12,710/m*",₹5.70 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2013 Hyundai i20,61840,Petrol,Manual,HR-12,₹2.70 lakh,₹6.03 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2017 Maruti Vitara Brezza,80562,Diesel,Manual,HR-72,"EMI ₹19,902/m*",₹4.76 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2024 Tata PUNCH,25466,Petrol,Manual,UP-80,₹2.35L₹2.24 lakh,₹3.80 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2022 Maruti Alto,30826,Petrol,Manual,HR-06,"EMI ₹10,534/m*",₹1.00 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2012 Maruti Wagon R 1.0,81490,CNG,Manual,DL-11,₹4.20L₹4.00 lakh,₹3.40 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2013 Maruti Wagon R 1.0,94657,CNG,Manual,HR-20,Not available on EMI,₹4.00 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2012 Hyundai i10,76719,Petrol,Manual,HR-20,₹1.15L₹0.95 lakh,₹6.80 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2013 Hyundai Grand i10,89179,Petrol,Manual,HR-20,"EMI ₹13,286/m*",₹2.30 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2014 Maruti Alto 800,116806,CNG,Manual,HR-32,₹4.50L₹4.00 lakh,₹6.56 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2012 Maruti Swift,99772,CNG,Manual,HR-05,"EMI ₹8,008/m*",₹1.32 lakh," Wave One Mall, Sec-18, Noida"
2017 Tata Tiago,55541,Petrol,Manual,HR-21,₹3.60 lakh,₹1.80 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2015 Hyundai Eon,77062,Petrol,Manual,HR-20,"EMI ₹10,592/m*",₹2.10 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2016 Renault Kwid,45000,Petrol,Manual,HR-20,₹6.50L₹6.00 lakh,₹1.50 lakh," Metro Walk, Rohini, New Delhi"
2011 Ford Figo,59521,CNG,Manual,HR-26,"EMI ₹7,674/m*",₹1.25 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2013 Maruti Swift Dzire,106472,CNG,Manual,HR-44,₹3.45 lakh,₹1.80 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2016 Renault Kwid,118740,Petrol,Manual,HR-21,"EMI ₹9,217/m*",₹1.75 lakh," Metro Walk, Rohini, New Delhi"
2021 Honda Amaze,42423,Diesel,Manual,HR-20,₹3.60L₹3.50 lakh,₹1.86 lakh," Metro Walk, Rohini, New Delhi"
2017 Honda City,85761,Diesel,Manual,HR-51,"EMI ₹6,584/m*",₹5.13 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2023 Hyundai VENUE,29190,Petrol,Manual,UP-90,₹2.96 lakh,Account ," M3M Urbana, Golf Course Ext., Gurugram"
2015 Hyundai i10,109100,CNG,Manual,HR-20,"EMI ₹11,791/m*",Account ," Metro Walk, Rohini, New Delhi"
2012 Toyota Etios,204757,Diesel,Manual,HR-20,₹3.55 lakh,Account ," Metro Walk, Rohini, New Delhi"
2017 Hyundai Elite i20,69867,Petrol,Manual,HR-23,"EMI ₹14,459/m*",₹5.10 lakh, DLF South Court Saket
2023 Toyota Glanza,60527,Petrol,Manual,HR-20,₹7.10L₹6.50 lakh,₹3.75 lakh," Udyog Vihar, Sector 18, Gurgaon"
2015 Maruti Swift,87121,Diesel,Manual,HR-12,Not available on EMI,₹1.19 lakh, agarsen vihar old GT road Palwal
2021 Maruti Swift,62963,CNG,Manual,HR-29,₹3.81L₹3.13 lakh+ other charges,₹1.70 lakh, Panchwati Colony Palwal Haryana
2017 Renault Kwid,61347,Petrol,Manual,HR-51,"EMI ₹2,815/m*",₹1.71 lakh, Shyam Nagar Palwal Haryana
2019 Ford FREESTYLE,55165,Diesel,Manual,HR-94,₹2.04L₹1.44 lakh+ other charges,₹2.00 lakh, Panchwati Colony Palwal Haryana
2015 Hyundai Eon,43518,Petrol,Manual,HR-16,"EMI ₹7,284/m*",₹1.12 lakh, Palwal Palwal Haryana
2022 Maruti Swift,66173,Petrol,Manual,HR-20,₹4.37L₹4.13 lakh+ other charges,₹1.65 lakh, Kc service station Kc service station Palwal
2017 Renault Kwid,86916,Petrol,Manual,HR-20,"EMI ₹7,326/m*",₹2.60 lakh, New Colony Palwal Haryana
2016 Maruti Swift,65394,Petrol,Manual,HR-26,₹4.25L₹4.15 lakh+ other charges,₹1.40 lakh, Shyam Nagar Palwal Haryana
2019 Tata NEXON,43084,Petrol,Manual,HR-30,"EMI ₹8,457/m*",₹1.35 lakh, Omaxe City 1 Palwal
2019 Maruti Swift,58358,CNG,Manual,HR-24,₹5.28L₹4.79 lakh+ other charges,₹0.75 lakh, HUDA Sector-2 Palwal
2015 Maruti Wagon R 1.0,65974,CNG,Manual,HR-23,"EMI ₹10,775/m*",₹1.88 lakh, Shyam Nagar Palwal Haryana
2022 Tata PUNCH,23927,Petrol,Manual,HR-24,₹6.26L₹6.10 lakh+ other charges,₹1.30 lakh, Shiv Colony Palwal
2015 Honda Amaze,40807,Petrol,Manual,HR-26,Not available on EMI,₹5.50 lakh, Camp Market Palwal Haryana
2021 Renault Kwid,44709,Petrol,Manual,HR-44,₹1.34 lakh+ other charges,₹4.00 lakh, Rock Colony Palwal Haryana
2017 Maruti Wagon R 1.0,43479,Petrol,Manual,HR-24,"EMI ₹6,920/m*",₹7.00 lakh, Surya society Surya society Palwal
2019 Maruti Swift,57241,Petrol,Manual,HR-51,₹4.00L₹3.92 lakh+ other charges,₹1.87 lakh, Ramnagar Palwal Haryana
2018 Renault Kwid,62282,Petrol,Manual,HR-24,"EMI ₹4,869/m*",₹2.20 lakh, Prem Vihar Ward No. 19 Faridabad
2023 Tata PUNCH,78363,Petrol,Manual,CH-01,₹3.21L₹2.76 lakh+ other charges,₹4.70 lakh, Shyam Nagar Palwal Haryana
